Username,Password,Preium_User
rolecravat,nJbn6FV6HpGz,0
eskimoannoyed,S7WCFBxz3yWG,1
groundloose,Nqh74LUm2yUe,1
loganberriesrescue,7vgCk9PxVTK8,1
necklacedemonic,HJGxTJK57K8K,1
wisewomanly,nHchJbejGfQ6,0
creaseside,tQaBb6qZYqZK,1
morbiditydisability,jmLyTn6E3pkp,0
ritzyoveralls,pHNcwNCZtXZ4,0
lazarethope,3UmXXwV9pXWA,0
linedplayer,B5hkp8Ddtnws,0
fencehot,KVTK73F9reX5,0
charminglooper,xWxAeteEXP3Q,0
kimonosmoggy,RAgyLD3kQZ3w,1
eatabletan,Zr6RDbsaxAPU,1
suddenlypsychology,fKABCSMNyGXz,0
teaspoondeveloper,aZCN6ZPhbrWL,0
carillonpaternal,6ycX4ZJHM8t9,0
ensignworkshop,mA7v2PsLXTup,0
socialclifden,EfGZHX68utgB,1
eaglessecret,4Bw64Rtd6LYt,0
businessmantitle,Lp6zPqv95g4z,1
syrupwaveson,vEFpuELR5G3F,1
instantexception,8BPqnXN94fbj,0
acidgunpowder,MYfJYndDJgEB,0
councilmanplop,AtxzwXcjyXRB,0
clipwhereas,5dexzEZfX8MV,1
motorboatshut,FaCzttCRpcKT,1
spotteddisfigured,RATEs9rJ4UZm,1
mintpeaches,8qqL5fpGfC3a,0
jumbledmuddled,uEAXxZpJand6,0
howevervhs,TVKugkbHtzcW,1
tickdirt,x5Wxu7BvrZKc,0
magnetcopy,PTLkwQbW6Jun,1
fancygilet,qA2eqmUFY9Wm,1
colobusjello,5y2TRexcpwbM,1
tophatupon,TsjjhNcGeXgv,1
vigilantunwind,2hPa5a3jDEHs,1
selectcollected,wZXwnDMYYYxD,0
missexultant,962jxhpNarvr,0
responsivesulky,kxaELv4MxpJZ,1
wipecompeting,dRYGfaxxLGe3,1
readingcapture,wKSkJYnRgPLc,1
peakpatience,XWhfHVXU5BX7,1
musicalunwrap,Zk62FHpypk68,0
alonegarage,xLX5SpFaa5JC,0
lovableconies,x24UZdmFFZaF,1
exitcauldron,mUwmDmXa9Ke3,1
glancecompanion,GQKW5YXBeFrt,0
bikinithose,Za3ebqA7kmUE,0
